word,wordtype,meaning
ಅಂತು,ಅವ್ಯಯ,"(ದೇ) ಹಾಗೆ, ಆ ರೀತಿಯಲ್ಲಿ, ಒಟ್ಟಿನಲ್ಲಿ"
ಅಂತೇವಾಸಿ,ಹೆಸರುಪದ,(ಸಂ) ಗುರುವಿನ ಸಮೀಪದಲ್ಲಿ ವಾಸಮಾಡುವ ಶಿಷ್ಯ
ಅಂತ್ಯ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಕೊನೆ, ತುದಿ ೨ ಸಾವು ೩ ಪ್ರಳಯ"
ಅಂತ್ಯಕ್ರಿಯೆ,ಹೆಸರುಪದ,"(ಸತ್ತವರಿಗೆ ಮಾಡುವ) ಸಂಸ್ಕಾರ ಕಾರ್ಯ, ಉತ್ತರಕ್ರಿಯೆ"
ಅಂತ್ಯಜ,ಹೆಸರುಪದ,"ಹೊಲೆಯ, ಶೂದ್ರ"
ಅಂತ್ಯಪ್ರಾಸ,ಹೆಸರುಪದ,ಪದ್ಯದ ಪಾದಗಳ ಕೊನೆಯಲ್ಲಿ ಬರುವ ಪ್ರಾಸ
ಅಂತ್ಯಾಕ್ಷರಿ,ಹೆಸರುಪದ,ಒಬ್ಬರು ಹೇಳಿದ ಹಾಡಿನ ಯಾ ಪದದ ಕಡೆಯ ಅಕ್ಷರದಿಂದ ಮತ್ತೊಬ್ಬರು ಇನ್ನೊಂದು ಹಾಡು ಯಾ ಪದ ಹೇಳುತ್ತಾ ಹೋಗುವ ಒಂದು ಸಾಹಿತ್ಯಿಕ ಸ್ಪರ್ಧಾಕ್ರೀಡೆ
ಅಂತ್ರ,ಹೆಸರುಪದ,(ಸಂ) ಕರುಳು
ಅಂತ್ರವೃದ್ಧಿ,ಹೆಸರುಪದ,"ಕರುಳಿನ ಒಂದು ರೋಗ, ಹರ್ನಿಯಾ"
ಅಂದಳ,ಹೆಸರುಪದ,"(<ಸಂ. ಆಂದೋಲ) ಮೇನೆ, ಪಲ್ಲಕ್ಕಿ"
ಅಂದಾಜು,ಹೆಸರುಪದ,"(<ಪಾರ. ಅಂದಾಜ್) ಊಹೆ, ನಿರೀಕ್ಷೆ, ತರ್ಕ"
ಅಂದು,ಹೆಸರುಪದ,(ದೇ) ೧ ಆ ದಿನ ೨ ಆ ಸಂದರ್ಭ
ಅಂದು,ಎಸಕಪದ,"(ದೇ) ಎಟುಕು, ನಿಲುಕು"
ಅಂದು,ಅವ್ಯಯ,(ದೇ) ಆ ಸಂದರ್ಭದಲ್ಲಿ
ಅಂದುಕ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಕಾಲಸರಪಳಿ, ನೂಪುರ ೨ ಆನೆಯ ಕಾಲಿಗೆ ಕಟ್ಟುವ ಸರಪಳಿ"
ಅಂದುಗೆ,ಹೆಸರುಪದ,"(<ಸಂ. ಅಂದುಕ) ಕಾಲಿನ ಕಡಗ, ಕಾಲಂದಿಗೆ"
ಅಂದೋಜಿ,ಹೆಸರುಪದ,"(<ದೇ. ಅಂದ) ಶೋಭನದ ಮನೆಯಲ್ಲಿ ಜೋಡಿಸಿಡುವ ಹಣ್ಣು, ಭಕ್ಷ್ಯ ಇತ್ಯಾದಿ"
ಅಂಧ,ಹೆಸರುಪದ,"(ಸಂ) ಕುರುಡ, ದೃಷ್ಟಿಹೀನ; ಪಂಗು ನ್ಯಾಯ ಕುರುಡನ ಹೆಗಲ ಮೇಲೆ ಕುಳಿತ ಕುಂಟನು ದಾರಿ ತೋರುವ ಒಂದು ನ್ಯಾಯ"
ಅಂಧಕಾರ,ಹೆಸರುಪದ,ಕತ್ತಲೆ
ಅಂಧಯಷ್ಟಿ,ಹೆಸರುಪದ,ಕುರುಡನು ನಡೆಯುವಾಗ ಉಪ ಯೋಗಿಸುವ ಕೋಲು
ಅಂಬಕ,ಹೆಸರುಪದ,(ಸಂ) ಕಣ್ಣು
ಅಂಬಕಳಿ,ಹೆಸರುಪದ,"(<ದೇ. ಅಂಬಲಿ + ಕಳಿ) ಗಂಜಿ, ಅಂಬಲಿ"
ಅಂಬರ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಬಟ್ಟೆ ೨ ಆಕಾಶ ೩ ಸೊನ್ನೆಯ ಸಂಕೇತ ೪ ಹತ್ತಿರ ೫ ಕಾಗೆಬಂಗಾರ ೬ ಹತ್ತಿ ೭ ಹಾಸಿಗೆ
ಅಂಬರಚುಂಬಿ,ಹೆಸರುಪದ,ಮುಗಿಲನ್ನು ಮುಟ್ಟುವ
ಅಂಬರಮಣಿ,ಹೆಸರುಪದ,ಸೂರ್ಯ
ಅಂಬರೀಷ,ಹೆಸರುಪದ,(ಸಂ) ೧ ವಿಷ್ಣು ೨ ಶಿವ ೩ ಸೂರ್ಯ ೪ ಬಾಣಲೆ
ಅಂಬಲಿ,ಹೆಸರುಪದ,(ದೇ) ಗಂಜಿ
ಅಂಬಾರ,ಹೆಸರುಪದ,(ಪಾರ) ೧ ಹುಲ್ಲಿನ ಬಣವೆ ೨ ಧಾನ್ಯದ ರಾಶಿ
ಅಂಬಾರಿ,ಹೆಸರುಪದ,(ಪಾರ) ಆನೆಯ ಮೇಲೆ ಕುಳಿತು ಕೊಳ್ಳಲು ಹಾಕುವ ಭದ್ರಾಸನ
ಅಂಬಿ,ಹೆಸರುಪದ,"(<ಸಂ. ಅಂಬು) ದೋಣಿ, ನಾವೆ"
ಅಂಬಿಗ,ಹೆಸರುಪದ,(<ಸಂ. ಅಂಬು) ದೋಣಿ ನಡೆಸುವವನು
ಅಂಬಿಸು,ಎಸಕಪದ,(ದೇ) ಒಣಗಿಸು
ಅಂಬು,ಹೆಸರುಪದ,(ಸಂ) ೧ ಬಾಣ ೨ ನೀರು ೩ ಲಾವಂಚ (ಸುವಾಸನೆಯ ಒಂದು ಬಗೆಯ ಬೇರು)
ಅಂಬು,ಎಸಕಪದ,(ದೇ) ಒಣಗು
ಅಂಬುಗಂಡಿ,ಎಸಕಪದ,"ಕೋಟೆಯ ಗೋಡೆಯಲ್ಲಿಯ ಬಾಣ, ಬಂದೂಕು ಪ್ರಯೋಗಿಸಲು ಮಾಡಿರುವ ರಂಧ್ರ"
ಅಂಬುಗೂಡು,ಹೆಸರುಪದ,"ಬತ್ತಳಿಕೆ, ಬಾಣಗಳನ್ನಿಡುವ ಗೂಡು"
ಅಂಬುಚರ,ಎಸಕಪದ,ನೀರಿನಲ್ಲಿ ಚಲಿಸುವ ಮೀನು ಮುಂ. ಪ್ರಾಣಿ
ಅಂಬುಜ,ಹೆಸರುಪದ,(ಸಂ) ೧ ನೀರಿನಲ್ಲಿ ಹುಟ್ಟಿದುದು ೨ ಕಮಲ ೩ ಶಂಖ
ಅಂಬುಜನಾಭ,ಎಸಕಪದ,ವಿಷ್ಣು
ಅಂಬುಜಪಾಣಿ,ಹೆಸರುಪದ,ವಿಷ್ಣು
ಅಂಬುಜಬಂಧು,ಎಸಕಪದ,ಸೂರ್ಯ
ಅಂಬುಜಾಕರ,ಹೆಸರುಪದ,ಕಮಲದ ಕೊಳ
ಅಂಬುಜಾಸನ,ಎಸಕಪದ,ಬ್ರಹ್ಮ
ಅಂಬುದ,ಹೆಸರುಪದ,(ಸಂ) ಮೋಡ
ಅಂಬುದಾಗಮ,ಹೆಸರುಪದ,ಮಳೆಗಾಲ
ಅಂಬುಧರ,ಹೆಸರುಪದ,ಮೋಡ
ಅಂಬುಧಿ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಸಮುದ್ರ ೨ ನಾಲ್ಕರ ಸಂಕೇತ ೩ ನೀರಿನ ಪಾತ್ರೆ
ಅಂಬುರುಹ,ಹೆಸರುಪದ,"ಕಮಲ, ಅಂಭೋರುಹ"
ಅಂಬುರುಹ,ಎಸಕಪದ,ಕಮಲ
ಅಂಬೆ,ಹೆಸರುಪದ,(<ಸಂ. ಅಂಬಾ) ೧ ತಾಯಿ ೨ ಪಾರ್ವತಿ
ಅಂಭೋಜ,ಹೆಸರುಪದ,(ಸಂ) ಕಮಲ
ಅಂಭೋದ,ಹೆಸರುಪದ,(ಸಂ) ಮೋಡ
ಅಂಭೋದಿ,ಹೆಸರುಪದ,(ಸಂ) ಸಮುದ್ರ
ಅಂಶ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಭಾಗ, ಘಟಕ ೨ ವಿವರ"
ಅಂಶಗಣ,ಹೆಸರುಪದ,ದ್ರಾವಿಡ ಛಂದಸ್ಸಿನಲ್ಲಿ ಒಂದು ಮಾನ
ಅಂಶು,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಕಿರಣ ೨ ಮೊನೆ, ತುದಿ"
ಅಂಶುಮಂತ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಸೂರ್ಯ ೨ ಚಂದ್ರ ೩ ಒಂದು ಪರ್ವತ
ಅಂಶುಮತಿ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಯಮುನಾ ನದಿ ೨ ಒಂದೆಲಗ ೩ ಇಂಗು
ಅಂಸ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಭುಜ ೨ ಹೆಗಲ ಎಲುಬು
ಅಂಸಕೂಟ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಹೆಗಲು ೨ ಗೂಳಿ, ಎತ್ತು ಮೊ.ವುಗಳ ಡುಬ್ಬ, ಇಣಿ"
ಅಕ,ಪರಿಚೆಪದ,"೪ ಪ್ರಾಣಿಗಳ ಮರಿ, ೫ ದಡ್ಡ, ಮೂರ್ಖ ೧ ಬಲಿಯದ, ಎಳಸಾದ ೨ ಚಿಕ್ಕವಯಸ್ಸಿನ, ಎಳೆಯ ೩ ಹುಡುಗಾಟದ, ಮಕ್ಕಳಾಟಿಕೆಯ"
ಅಕರಾಸ್ತೆ,ಹೆಸರುಪದ,"(ದೇ) ಅಕ್ಕರೆ, ಪ್ರೀತಿ"
ಅಕಲಂಕ,ಪರಿಚೆಪದ,"(ಸಂ) ನಿರ್ಮಲ, ಪಾಪರಹಿತ"
ಅಕಸಾಲೆ,ಹೆಸರುಪದ,"(ದೇ) ಚಿನಿವಾರ; ಚಿನ್ನ, ಬೆಳ್ಳಿ ಕೆಲಸ ಮಾಡುವವನು; ಅಕ್ಕಸಾಲೆ"
ಅಕಸ್ಮಾತ್,ಅವ್ಯಯ,"(ಸಂ) ಇದ್ದಕ್ಕಿದ್ದಂತೆ, ಹಠಾತ್ತಾಗಿ"
ಅಕಾಡೆಮಿ,ಹೆಸರುಪದ,(ಗ್ರೀ) ೧ ಕಲೆಗಳ ಅಭಿವೃದ್ಧಿಗೆ ದುಡಿಯುವ ಒಂದು ಸಂಸ್ಥೆ ೨ ಒಂದು ಪ್ರೌಢಶಾಲೆ ೩ ಒಂದು ವಿಷಯವನ್ನು ವಿಶೇಷವಾಗಿ ಬೋಧಿಸುವ ಒಂದು ಸಂಸ್ಥೆ
ಅಕಿಂಚನ,ಪರಿಚೆಪದ,"(ಸಂ) ಏನೂ ಇಲ್ಲದ, ಬಡತನದ, ದಾರಿದ್ರ್ಯದ"
ಅಕೂಪಾರ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಸಮುದ್ರ ೨ ದೊಡ್ಡ ಆಮೆ ೩ ಸೂರ್ಯ ೪ ಬಂಡೆ
