word,wordtype,origin,meaning_number,meaning
ಅಟ್ಟ,noun,ದೇ ,1,ಮನೆಯ ಒಳಗಡೆ ಸಾಮಾನುಗಳನ್ನು ಇಡುವುದಕ್ಕೋಸ್ಕರ ಛಾವಣಿಗೆ ಹೊಂದಿಸಿ ಮಾಡಿರುವ ಅಂತಸ್ತು
ಅಟ್ಟವಣೆ,noun,ದೇ ,1,ಕೂಡುವ ಮತ್ತು ಕಳೆಯುವ ಲೆಕ್ಕ; ಸಂಕಲನ ಮತ್ತು ವ್ಯವಕಲನ
ಅಟ್ಟಹಾಸ,noun,ಸಂ ,1,ತುಂಬ ಜೋರಾದ ನಗು
ಅಟ್ಟು,noun,ದೇ ,1,ದೌತ್ಯ
ಅಟ್ಟುಳಿ,noun,ದೇ ,1,ಅಟ್ಟಿಸಿಕೊಂಡು ಹೋಗುವಿಕೆ
ಅಟ್ಟೆ,noun,ದೇ ,1,ತಲೆಯಿಲ್ಲದ ದೇಹ
ಅಡಕ,noun,ದೇ ,1,ಹಿಡಿತ
ಅಡಕು,noun,ದೇ ,1,ನಿಯಮ
ಅಡಪವಳ,noun,ದೇ ,1,ಒಡೆಯನ ಎಲೆ ಅಡಿಕೆಯ ಸಂಚಿಯನ್ನು ಹಿಡಿಯುವವನು ಅಡ ಪವಳ
ಅಡಪು,noun,ದೇ ,1,ಆಸರೆ
ಅಡರು,noun,ದೇ ,1,ಆಸರೆ
ಅಡವು,noun,<ದೇ. ತಮಿ. ಅಡೈವು ,1,ರೀತಿ
ಅಡಹು,noun,ದೇ ,1,ಅಡವು
ಅಡಾವುಡಿ,noun,ದೇ ,1,ಗದ್ದಲ
ಅಡಿ,noun,ದೇ ,1,ಹೆಜ್ಜೆ
ಅಡುಗೆ,noun,ದೇ ,1,"ಬೇಯಿಸುವುದು, ಪಾಕಕ್ರಿಯೆ"
ಅಡೆ,noun,ದೇ ,1,"ಮಾವಿನಕಾಯಿ, ಬಾಳೆಕಾಯಿ ಇತ್ಯಾದಿಗಳನ್ನು ಶಾಖದಿಂದ ಮಾಗಿಸುವುದಕ್ಕಾಗಿ ಹುಲ್ಲಿನಲ್ಲಿ ಮುಚ್ಚಿಡುವುದು"
ಅಡ್ಡ,noun,ದೇ ,1,ಪಕ್ಕದಿಂದ ಪಕ್ಕಕ್ಕೆ ಸಾಗಿರುವುದು
ಅಡ್ಡಗಾಲು,noun,ದೇ ,1,ನಡೆಯುವಾಗ ಅಡ್ಡಡ್ಡಲಾಗಿಡುವ ಕಾಲು
ಅಡ್ಡದಾರಿ,noun,ದೇ ,1,ಅಡ್ಡ ರಸ್ತೆ
ಅಡ್ಡೆ,noun,ದೇ ,1,ಹೆಗಲು ಯಾ ಕೊರಳ ಮೇಲೆ ಹೊರುವುದಕ್ಕಾಗಿ ಮಾಡಿರುವ ಸಾಧನ; ಕಾವಡಿ
ಅಣಕ,noun,ದೇ ,1,ಕುಚೋದ್ಯ
ಅಣಚು,noun,ದೇ ,1,ಆಯುಧದ ತುದಿ
ಅಣಸು,noun,ದೇ ,1,"ಒನಕೆಯ ತುದಿ, ದನಕರುಗಳ ಕೋಡು, ಆನೆಯ ದಂತ ಮುಂ.ವಕ್ಕೆ ಅಳವಡಿಸುವ ಲೋಹದ ಕಟ್ಟು ಯಾ ಗೊಣಸು"
ಅಣಿ,noun,ದೇ ,1,ಅಚ್ಚುಕಟ್ಟು
ಅಣಿಮೆ,noun,<ಸಂ. ಅಣಿಮಾ ,1,ಸೂಕ್ಷ್ಮತ್ವ
ಅಣಿಲು,noun,ದೇ ,1,ಅಳಿಲು
ಅಣು,noun,ಸಂ ,1,ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಕಣ
ಅಣುಗ,noun,ದೇ ,1,ಪ್ರೀತಿಪಾತ್ರನಾದವನು
ಅಣೆ,noun,ದೇ ,1,ಅಣೆಕಟ್ಟು
ಅಣ್ಪು,noun,ದೇ ,1,"ಸವರುವುದು, ಲೇಪನ"
ಅತಂತ್ರ,noun,ಸಂ ,1,ಅನಾಯಕವಾದುದು
ಅತಲ,noun,ಸಂ ,1,ತಳವಿಲ್ಲದುದು
ಅತಿಕ್ರಮಣ,noun,ಸಂ ,1,ಕ್ರಮವನ್ನು ಉಲ್ಲಂಘಿಸುವುದು
ಅತಿರೇಕ,noun,ಸಂ ,1,ರೂಢಿಗೆ ವಿರೋಧವಾದ ನಡೆ
ಅತೀಂದ್ರಿಯ,noun,ಸಂ ,1,ಆತ್ಮ
ಅತೀತ,noun,ಸಂ ,1,ಕ್ರಮ ತಪ್ಪಿದ ನಡತೆ
ಅತುಲ,noun,ಸಂ ,1,ಎಳ್ಳು
ಅತ್ತಿ,noun,<ದೇ. ಅೞ ,1,ಸಂತೋಷ
ಅತ್ತಿಗೆ,noun,<ಸಂ. ಅತ್ತಿಕಾ ,1,ಅಣ್ಣನ ಹೆಂಡತಿ
